#Results from heasarc_hipparcos: Hipparcos Main Catalog
#Coordinate system:  Equatorial
#|name      |parallax|spect_type  |vmag |bv_color|ccdm_id   |survey_star|id_chart|hd_id |spect_type_source|class              |
|HIP 32349 |  379.21|A0m...      |-1.44|   0.009|06451-1643|S          |        | 48915|4                |            STAR A0|
|HIP 30438 |   10.43|F0Ib        |-0.62|   0.164|          |S          |        | 45348|X                |           STAR F0I|
|HIP 69673 |   88.85|K2IIIp      |-0.05|   1.239|14157+1911|S          |        |124897|X                |         STAR K2III|
|HIP 71683 |  742.12|G2V         |-0.01|   0.710|14396-6050|S          |        |128620|X                |           STAR G2V|
|HIP 91262 |  128.93|A0Vvar      | 0.03|  -0.001|18369+3847|S          |        |172167|X                |           STAR A0V|
|HIP 24608 |   77.29|M1: comp    | 0.08|   0.795|05168+4559|S          |        | 34029|G                |            STAR M1|
|HIP 24436 |    4.22|B8Ia        | 0.18|  -0.030|05145-0812|S          |        | 34085|X                |           STAR B8I|
|HIP 37279 |  285.93|F5IV-V      | 0.40|   0.432|07393+0514|S          |        | 61421|X                |          STAR F5IV|
|HIP 7588  |   22.68|B3Vp        | 0.45|  -0.158|          |S          |        | 10144|X                |           STAR B3V|
|HIP 27989 |    7.63|M2Ib        | 0.45|   1.500|05552+0724|S          |        | 39801|X                |           STAR M2I|
|HIP 68702 |    6.21|B1III       | 0.61|  -0.231|14038-6022|S          |        |122451|X                |         STAR B1III|
|HIP 97649 |  194.44|A7IV-V      | 0.76|   0.221|19508+0852|S          |        |187642|X                |          STAR A7IV|
|HIP 60718 |   10.17|B0.5IV      | 0.77|  -0.243|12266-6306|S          |        |108248|X                |          STAR B0IV|
|HIP 21421 |   50.09|K5III       | 0.87|   1.538|04359+1631|S          |        | 29139|X                |         STAR K5III|
|HIP 65474 |   12.44|B1V         | 0.98|  -0.235|13252-1109|S          |        |116658|X                |           STAR B1V|
|HIP 80763 |    5.40|M1Ib + B2.5V| 1.06|   1.865|16294-2626|S          |        |148478|G                |           STAR M1I|
|HIP 37826 |   96.74|K0IIIvar    | 1.16|   0.991|07454+2802|S          |        | 62509|X                |         STAR K0III|
|HIP 113368|  130.08|A3V         | 1.17|   0.145|          |S          |        |216956|3                |           STAR A3V|
|HIP 62434 |    9.25|B0.5III     | 1.25|  -0.238|12478-5940|S          |        |111123|X                |         STAR B0III|
|HIP 102098|    1.01|A2Ia        | 1.25|   0.092|20415+4517|S          |        |197345|X                |           STAR A2I|
|HIP 71681 |  742.12|K1V         | 1.35|   0.900|14396-6050|S          |        |128621|1                |           STAR K1V|
|HIP 49669 |   42.09|B7V         | 1.36|  -0.087|10083+1159|S          |        | 87901|X                |           STAR B7V|
|HIP 33579 |    7.57|B2II        | 1.50|  -0.211|06586-2858|S          |        | 52089|3                |          STAR B2II|
|HIP 36850 |   63.27|A2Vm        | 1.58|   0.034|07346+3153|S          |        | 60179|S                |           STAR A2V|
|HIP 61084 |   37.09|M4III       | 1.59|   1.600|12312-5706|S          |        |108903|X                |         STAR M4III|
|HIP 85927 |    4.64|B1.5IV+...  | 1.62|  -0.231|17336-3706|S          |        |158926|3                |          STAR B1IV|
|HIP 25336 |   13.42|B2III       | 1.64|  -0.224|05252+0620|S          |        | 35468|X                |         STAR B2III|
|HIP 25428 |   24.89|B7III       | 1.65|  -0.130|05263+2836|S          |        | 35497|X                |         STAR B7III|
|HIP 45238 |   29.34|A2IV        | 1.67|   0.070|          |S          |        | 80007|X                |          STAR A2IV|
|HIP 26311 |    2.43|B0Ia        | 1.69|  -0.184|05363-0112|S          |        | 37128|X                |           STAR B0I|
|HIP 109268|   32.16|B7IV        | 1.73|  -0.070|22082-4658|S          |        |209952|X                |          STAR B7IV|
|HIP 26727 |    3.99|O9.5Ib SB   | 1.74|  -0.199|05408-0156|S          |        | 37742|G                |           STAR O9I|
|HIP 39953 |    3.88|WC8 + O9I   | 1.75|  -0.145|08095-4721|S          |        | 68273|G                |WOLF RAYET STAR WC8|
|HIP 62956 |   40.30|A0p         | 1.76|  -0.022|          |S          |        |112185|G                |            STAR A0|
|HIP 90185 |   22.55|B9.5III     | 1.79|  -0.031|18242-3423|S          |        |169022|3                |         STAR B9III|
|HIP 15863 |    5.51|F5Ib        | 1.79|   0.481|03243+4951|S          |        | 20902|X                |           STAR F5I|
|HIP 54061 |   26.38|F7V comp    | 1.81|   1.061|11037+6145|S          |        | 95689|G                |           STAR F7V|
|HIP 34444 |    1.82|F8Ia        | 1.83|   0.671|          |S          |        | 54605|3                |           STAR F8I|
|HIP 67301 |   32.39|B3V SB      | 1.85|  -0.099|          |S          |        |120315|G                |           STAR B3V|
|HIP 41037 |    5.16|K3III+B2V   | 1.86|   1.196|08225-5931|S          |        | 71129|G                |         STAR K3III|
|HIP 86228 |   11.99|F1II        | 1.86|   0.406|17373-4300|S          |        |159532|X                |          STAR F1II|
|HIP 28360 |   39.72|A2V         | 1.90|   0.077|05596+4457|S          |        | 40183|X                |           STAR A2V|
|HIP 82273 |    7.85|K2IIb-IIIa  | 1.91|   1.447|          |S          |        |150798|G                |         STAR K2III|
|HIP 42913 |   40.90|A1V         | 1.93|   0.043|08448-5442|S          |        | 74956|X                |           STAR A1V|
|HIP 31681 |   31.12|A0IV        | 1.93|   0.001|06377+1624|S          |        | 47105|X                |          STAR A0IV|
|HIP 100751|   17.80|B2IV        | 1.94|  -0.118|20257-5644|S          |        |193924|X                |          STAR B2IV|
|HIP 11767 |    7.56|F7:Ib-IIv SB| 1.97|   0.636|02319+8915|S          |        |  8890|G                |          STAR B7II|
|HIP 30324 |    6.53|B1II/III    | 1.98|  -0.240|06227-1757|S          |        | 44743|4                |         STAR B1III|
|HIP 46390 |   18.40|K3III       | 1.99|   1.440|09277-0841|S          |        | 81797|X                |         STAR K3III|
|HIP 50583 |   25.96|K0III       | 2.01|   1.128|10199+1951|S          |        | 89484|X                |         STAR K0III|
|HIP 9884  |   49.48|K2III       | 2.01|   1.151|          |S          |        | 12929|X                |         STAR K2III|
|HIP 3419  |   34.04|K0III       | 2.04|   1.019|          |S          |        |  4128|4                |         STAR K0III|
|HIP 92855 |   14.54|B2.5V       | 2.05|  -0.134|18552-2618|S          |        |175191|3                |           STAR B2V|
|HIP 68933 |   53.52|K0IIIb      | 2.06|   1.011|14067-3622|S          |        |123139|3                |         STAR K0III|
|HIP 112122|   19.17|M5III       | 2.07|   1.610|          |S          |        |214952|X                |         STAR M5III|
|HIP 27366 |    4.52|B0.5Iavar   | 2.07|  -0.168|          |S          |        | 38771|X                |           STAR B0I|
|HIP 677   |   33.60|B9p         | 2.07|  -0.038|00083+2905|S          |        |   358|X                |            STAR B9|
|HIP 5447  |   16.36|M0IIIvar    | 2.07|   1.576|01097+3537|S          |        |  6860|X                |         STAR M0III|
|HIP 72607 |   25.79|K4IIIvar    | 2.07|   1.465|14506+7410|S          |        |131873|X                |         STAR K4III|
|HIP 86032 |   69.84|A5III       | 2.08|   0.155|17349+1234|S          |        |159561|X                |         STAR A5III|
|HIP 14576 |   35.14|B8V         | 2.09|  -0.003|03082+4057|S          |        | 19356|X                |           STAR B8V|
|HIP 9640  |    9.19|B8V         | 2.10|   1.370|02039+4220|S          |        | 12533|X                |           STAR B8V|
|HIP 57632 |   90.16|A3Vvar      | 2.14|   0.090|11490+1433|S          |        |102647|X                |           STAR A3V|
|HIP 4427  |    5.32|B0IV:evar   | 2.15|  -0.046|00567+6043|S          |        |  5394|X                |          STAR B0IV|
|HIP 61932 |   25.01|A1IV        | 2.20|  -0.023|12415-4858|S          |        |110304|X                |          STAR A1IV|
|HIP 45556 |    4.71|A8Ib        | 2.21|   0.189|          |S          |        | 80404|X                |           STAR A8I|
|HIP 39429 |    2.33|O5IAf       | 2.21|  -0.269|          |S          |        | 66811|G                |           STAR O5I|
|HIP 76267 |   43.65|A0V         | 2.22|   0.032|          |S          |        |139006|X                |           STAR A0V|
|HIP 44816 |    5.69|K4Ib-II     | 2.23|   1.665|09080-4326|S          |        | 78647|X                |          STAR K4II|
|HIP 100453|    2.14|F8Ib        | 2.23|   0.673|20222+4015|S          |        |194093|X                |           STAR F8I|
|HIP 65378 |   41.73|A2V         | 2.23|   0.057|13240+5456|S          |        |116656|X                |           STAR A2V|
|HIP 87833 |   22.10|K5III       | 2.24|   1.521|17566+5129|S          |        |164058|X                |         STAR K5III|
|HIP 3179  |   14.27|K0II-IIIvar | 2.24|   1.170|00405+5632|S          |        |  3712|X                |          STAR K0II|
|HIP 25930 |    3.56|O9.5II      | 2.25|  -0.175|05320-0018|S          |        | 36486|X                |          STAR O9II|
|HIP 746   |   59.89|F2III-IV    | 2.28|   0.380|00092+5909|S          |        |   432|X                |         STAR F2III|
|HIP 66657 |    8.68|B1III       | 2.29|  -0.171|13399-5328|S          |        |118716|X                |         STAR B1III|
|HIP 82396 |   49.85|K2IIIb      | 2.29|   1.144|          |S          |        |151680|3                |         STAR K2III|
|HIP 78401 |    8.12|B0.2IV      | 2.29|  -0.117|16003-2237|S          |        |143275|4                |          STAR B0IV|
|HIP 71860 |    5.95|B1.5III     | 2.30|  -0.154|14419-4723|S          |        |129056|X                |         STAR B1III|
|HIP 71352 |   10.57|B1Vn + A    | 2.33|  -0.157|          |S          |        |127972|G                |           STAR B1V|
|HIP 53910 |   41.07|A1V         | 2.34|   0.033|          |S          |        | 95418|X                |           STAR A1V|
|HIP 72105 |   15.55|A0          | 2.35|   0.966|14449+2704|S          |        |129988|S                |            STAR A0|
|HIP 107315|    4.85|K2Ibvar     | 2.38|   1.520|21441+0953|S          |        |206778|X                |           STAR K2I|
|HIP 86670 |    7.03|B1.5III     | 2.39|  -0.171|          |S          |        |160578|3                |         STAR B1III|
|HIP 2081  |   42.14|K0III...    | 2.40|   1.083|00263-4218|S          |        |  2261|X                |         STAR K0III|
|HIP 58001 |   38.99|A0V SB      | 2.41|   0.044|          |S          |        |103287|G                |           STAR B0V|
