Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|name      |parallax|spect_type |vmag |bv_color|ccdm_id   |survey_star|id_chart|hd_id |spect_type_source|class          |
|HIP 26394 |   54.92|G3IV       | 5.65|   0.600|          |S          |        | 39091|X                |      STAR G3IV|
|HIP 76362 |   99.90|           |11.65|        |15357-8012|           |        |      |                 |   UNIDENTIFIED|
|HIP 1292  |   56.76|G6V        | 6.59|   0.749|          |S          |        |  1237|1                |       STAR G6V|
|HIP 66125 |   52.09|G          | 9.31|   0.914|13333-7734|           |        |      |S                |        STAR G0|
|HIP 2021  |  133.78|G2IV       | 2.82|   0.618|          |S          |        |  2151|X                |      STAR G2IV|
|HIP 40702 |   51.40|F5III      | 4.05|   0.413|          |S          |        | 71243|X                |     STAR F5III|
|HIP 117828|   98.43|M...       | 9.99|   1.466|          |           |        |223889|1                |        STAR M0|
|HIP 31293 |  114.18|           |10.35|        |06337-7538|           |G       |      |                 |   UNIDENTIFIED|
|HIP 31292 |  119.54|           |11.41|        |06337-7538|           |        |      |                 |   UNIDENTIFIED|
|HIP 113229|  116.02|K          |10.42|   1.485|          |           |G       |      |S                |        STAR K0|
|HIP 110719|   60.24|           | 9.35|   1.120|22259-7501|           |        |212168|                 |   UNIDENTIFIED|
|HIP 29271 |   98.54|G5V        | 5.08|   0.714|          |S          |        | 43834|X                |       STAR G5V|
|HIP 50954 |   61.67|F2IV       | 3.99|   0.369|          |S          |        | 90589|X                |      STAR F2IV|
|HIP 104440|   53.38|G3IV       | 5.67|   0.590|21094-7310|S          |        |200525|X                |      STAR G3IV|
|HIP 82256 |   62.66|M          |11.36|   1.600|          |           |G       |      |S                |        STAR M0|
|HIP 116745|   87.72|K3V        | 7.09|   0.989|          |S          |        |222237|X                |       STAR K3V|
|HIP 107705|   62.00|M2Ve       | 9.53|   1.420|21491-7206|           |        |      |X                |      STAR M2Ve|
|HIP 80686 |   82.61|F9V        | 4.90|   0.555|          |S          |        |147584|X                |       STAR F9V|
|HIP 61291 |   61.83|K0V        | 7.13|   0.836|          |S          |        |109200|X                |       STAR K0V|
|HIP 14754 |   98.50|DA         |11.39|   0.025|          |           |G       |      |S                |WHITE DWARF D A|
|HIP 169   |   63.03|M0V        | 9.24|   1.390|00021-6817|           |        |224953|X                |       STAR M0V|
|HIP 436   |   62.48|K5V        | 8.49|   1.076|          |           |        |    55|X                |       STAR K5V|
|HIP 114361|   66.36|K5V        | 8.29|   1.201|          |           |        |218511|X                |       STAR K5V|
|HIP 105336|   50.15|           |10.90|   1.450|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 5496  |  122.86|K          | 9.80|   1.568|          |           |        |      |S                |        STAR K0|
|HIP 98959 |   56.45|G2V        | 6.07|   0.648|          |S          |        |189567|X                |       STAR G2V|
|HIP 1599  |  116.38|F9V        | 4.23|   0.576|          |S          |        |  1581|X                |       STAR F9V|
|HIP 99240 |  163.73|G5IV-Vvar  | 3.55|   0.751|          |S          |        |190248|X                |      STAR G5IV|
|HIP 39342 |   57.88|K1V        | 7.18|   0.872|          |S          |        | 67199|1                |       STAR K1V|
|HIP 523   |   56.92|M4         |12.17|   1.550|          |           |D       |      |S                |        STAR M4|
|HIP 110400|   62.40|M5         |12.11|   1.653|          |           |G       |      |S                |        STAR M5|
|HIP 25647 |   66.92|K1III(p)   | 6.88|   0.830|05287-6527|S          |        | 36705|G                |     STAR K1III|
|HIP 111766|   67.44|           |11.50|   1.593|22384-6523|           |G       |      |                 |   UNIDENTIFIED|
|HIP 105858|  108.50|F6V        | 4.21|   0.494|          |S          |        |203608|X                |       STAR F6V|
|HIP 71908 |   60.97|F1Vp       | 3.18|   0.256|14425-6459|S          |        |128898|X                |       STAR F1V|
|HIP 57367 |  216.40|DC:        |11.50|   0.196|          |           |G       |      |S                |WHITE DWARF D C|
|HIP 59072 |   50.79|F2III      | 4.14|   0.353|12068-6437|S          |        |105211|X                |     STAR F2III|
|HIP 13389 |   86.91|M          |11.36|   1.549|          |           |G       |      |S                |        STAR M0|
|HIP 16069 |   61.07|K5V        | 8.08|   1.130|03270-6330|S          |        | 21749|X                |       STAR K5V|
|HIP 77952 |   81.24|F2III      | 2.83|   0.315|15551-6326|S          |        |141891|X                |     STAR F2III|
|HIP 34890 |   50.02|K5V        | 9.08|   1.255|          |           |        | 56533|1                |       STAR K5V|
|HIP 63550 |   59.46|           |10.92|   1.490|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 70890 |  772.33|M5Ve       |11.01|   1.807|14396-6050|           |G       |      |K                |      STAR M5Ve|
|HIP 15330 |   82.51|G2V        | 5.53|   0.641|03180-6232|S          |        | 20766|X                |       STAR G2V|
|HIP 15371 |   82.79|G1V        | 5.24|   0.600|03180-6232|S          |        | 20807|X                |       STAR G1V|
|HIP 82725 |  203.01|           |11.72|        |16545-6224|           |        |      |                 |   UNIDENTIFIED|
|HIP 82724 |  109.57|Mp         |11.85|   1.729|16545-6224|           |        |      |S                |        STAR M0|
|HIP 4473  |   51.66|K7V        | 9.50|   1.299|          |           |        |  5633|X                |       STAR K7V|
|HIP 92451 |   59.94|M3         |10.74|   1.480|18504-6203|           |G       |      |S                |        STAR M3|
|HIP 89042 |   56.32|G0V        | 5.47|   0.592|          |S          |        |165499|X                |       STAR G0V|
|HIP 69578 |   64.68|           |12.10|        |14146-6148|           |        |      |                 |   UNIDENTIFIED|
|HIP 55691 |   77.58|K7V+...    | 7.22|   1.271|11247-6139|S          |        | 99279|X                |       STAR K7V|
|HIP 33690 |   54.33|K0IV-V     | 6.81|   0.786|          |S          |        | 53143|X                |      STAR K0IV|
|HIP 71681 |  742.12|K1V        | 1.35|   0.900|14396-6050|S          |        |128621|1                |       STAR K1V|
|HIP 71683 |  742.12|G2V        |-0.01|   0.710|14396-6050|S          |        |128620|X                |       STAR G2V|
|HIP 83990 |   73.07|K0V        | 7.38|   0.889|          |S          |        |154577|X                |       STAR K0V|
|HIP 115123|   51.97|K7V        | 8.93|   1.154|          |           |        |219764|X                |       STAR K7V|
|HIP 25544 |   51.10|G5V        | 6.99|   0.755|          |S          |        | 36435|X                |       STAR G5V|
|HIP 38908 |   61.76|G2V...     | 5.59|   0.573|07578-6018|S          |        | 65907|X                |       STAR G2V|
|HIP 45908 |   95.37|M0V        | 9.49|   1.472|          |           |G       |304636|X                |       STAR M0V|
|HIP 9044  |   50.76|K5V        | 8.61|   1.143|          |           |        | 12058|X                |       STAR K5V|
|HIP 27887 |   77.95|K3V        | 7.17|   0.935|          |S          |        | 40307|1                |       STAR K3V|
|HIP 108569|   84.26|M2         | 9.74|   1.479|          |           |        |      |S                |        STAR M2|
|HIP 69972 |   84.50|K3V        | 6.66|   1.017|          |S          |        |125072|X                |       STAR K3V|
|HIP 19921 |   54.84|K2IV       | 4.44|   1.078|04165-5918|S          |        | 27442|X                |      STAR K2IV|
|HIP 64583 |   55.49|F7IV       | 4.90|   0.489|13142-5906|S          |        |114837|X                |      STAR F7IV|
|HIP 12261 |   67.20|           |12.36|        |          |           |D       |      |                 |   UNIDENTIFIED|
|HIP 31300 |   61.28|M          |11.62|   1.500|          |           |D       |      |S                |        STAR M0|
|HIP 100490|   50.36|M          |10.60|   1.455|          |           |G       |      |S                |        STAR M0|
|HIP 12351 |   60.51|M0Ve       | 9.48|   1.396|02390-5811|           |        |      |X                |      STAR M0Ve|
|HIP 107522|   52.56|K7V        | 8.77|   1.322|21466-5742|           |        |206804|X                |       STAR K7V|
|HIP 79537 |   72.75|K0V        | 7.53|   0.815|          |           |        |145417|X                |       STAR K0V|
|HIP 23708 |   86.76|K7V        | 8.98|   1.386|          |           |        |      |X                |       STAR K7V|
|HIP 55042 |   79.71|M          |11.66|   1.490|          |           |G       |304043|S                |        STAR M0|
|HIP 23693 |   85.83|F7V        | 4.71|   0.526|          |S          |        | 33262|X                |       STAR F7V|
|HIP 86990 |  172.08|M5         |10.75|   1.660|          |           |G       |      |S                |        STAR M5|
|HIP 110534|   51.57|K          |10.82|   1.470|          |           |G       |      |S                |        STAR K0|
|HIP 103910|   70.51|M4         |12.88|   1.653|          |           |G       |      |S                |        STAR M4|
|HIP 108870|  275.76|K5V        | 4.69|   1.056|          |S          |        |209100|X                |       STAR K5V|
|HIP 69454 |   85.02|M2V:       |10.20|   1.500|          |           |G       |      |S                |       STAR M2V|
|HIP 79190 |   69.66|K3V        | 7.11|   0.856|          |S          |        |144628|X                |       STAR K3V|
|HIP 7751  |  122.75|K0V        | 5.76|   0.880|01398-5612|S          |        | 10360|S                |       STAR K0V|
|HIP 93069 |   79.14|M2V        | 8.86|   1.433|18575-5600|           |        |175224|X                |       STAR M2V|
|HIP 94368 |   50.04|M2         |11.31|   1.450|          |           |G       |      |S                |        STAR M2|
|HIP 22738 |   89.47|M2Ve       |10.73|   1.580|04535-5552|           |G       |      |S                |      STAR M2Ve|
|HIP 31862 |   76.47|K7V        | 9.80|   1.377|          |           |G       |      |S                |       STAR K7V|
|HIP 110443|   74.75|K7V        | 8.98|   1.329|          |           |        |211970|X                |       STAR K7V|
|HIP 90945 |   53.00|K4Vp...    | 8.50|   1.115|          |           |        |170573|1                |       STAR K4V|
|HIP 5812  |   60.76|M4         |11.16|   1.637|          |           |G       |      |S                |        STAR M4|
|HIP 7978  |   57.63|F8V        | 5.52|   0.551|          |S          |        | 10647|X                |       STAR F8V|
|HIP 110109|   73.47|G1V        | 5.36|   0.614|22183-5338|S          |        |211415|X                |       STAR G1V|
|HIP 66182 |   59.10|           |12.96|        |13339-5326|           |        |      |                 |   UNIDENTIFIED|
|HIP 19394 |   66.82|M          |11.79|   1.480|          |           |G       |      |S                |        STAR M0|
|HIP 19884 |   76.46|K5V        | 7.64|   1.115|          |S          |        | 27274|X                |       STAR K5V|
|HIP 54298 |  155.28|           |11.69|        |11065-5316|           |        |      |                 |   UNIDENTIFIED|
|HIP 13218 |   76.45|M          |10.72|   1.510|          |           |G       |      |S                |        STAR M0|
|HIP 39987 |   60.23|M          |11.74|   1.523|          |           |D       |      |S                |        STAR M0|
